,VA,AV,BA,FI,HS,IM
230,0.24999407,0.2933149,0.12984008,0.10425011,0.077064976,0.14553581
231,0.22929785,0.12369636,0.07527432,0.25135815,0.08001858,0.24035479
232,0.21797042,0.080044486,0.15020892,0.09785826,0.16442312,0.2894948
233,0.14859807,0.086284846,0.18597516,0.16132835,0.11264313,0.30517045
234,0.058893505,0.0989222,0.24431051,0.11087221,0.3333356,0.15366589
235,0.1127459,0.28261238,0.21387483,0.19156918,0.12197921,0.07721845
236,0.09449632,0.159352,0.30392978,0.22250213,0.050957788,0.16876191
237,0.08774174,0.25682476,0.17491572,0.3018376,0.12881143,0.049868718
238,0.1309216,0.17817053,0.19264583,0.058407396,0.21408293,0.22577173
239,0.093892016,0.1976735,0.10986599,0.07382585,0.2730501,0.25169256
240,0.30049747,0.19358356,0.06336082,0.19002561,0.14757709,0.104955465
241,0.13752533,0.2596772,0.10578843,0.22246274,0.09011255,0.1844337
242,0.11517083,0.24923655,0.052378837,0.26561308,0.16636027,0.15124041
243,0.06972844,0.22954129,0.10035023,0.27090016,0.17496312,0.15451674
244,0.08625629,0.16743769,0.21229726,0.15391402,0.32631385,0.053780872
245,0.13486968,0.08675625,0.5818521,0.07380495,0.06454912,0.05816792
246,0.12346473,0.33139437,0.097495124,0.17927,0.06421672,0.2041591
247,0.07603596,0.35860646,0.31116402,0.08155419,0.08014142,0.092498004
248,0.17773241,0.26567674,0.20739564,0.059462845,0.09111392,0.19861847
249,0.10103402,0.13617866,0.17590325,0.13883351,0.23694915,0.21110146
250,0.12026636,0.23104921,0.069523625,0.20004283,0.23796017,0.14115785
251,0.12928528,0.29214054,0.122374296,0.2783121,0.10288624,0.07500159
252,0.2185446,0.11566653,0.16126102,0.072840564,0.15166703,0.28002027
253,0.120842025,0.082136326,0.13574252,0.23267463,0.27559927,0.1530053
254,0.09631831,0.41061863,0.16715209,0.06836589,0.053298578,0.20424649
255,0.08103265,0.306291,0.18257308,0.08333769,0.27776876,0.06899685
256,0.05120982,0.2601049,0.17264214,0.09800184,0.35977617,0.058265124
257,0.065976396,0.07098122,0.3854266,0.1083827,0.3164469,0.052786127
258,0.13047525,0.051909618,0.18633048,0.12609717,0.2545645,0.25062293
259,0.06297282,0.25764486,0.18840067,0.25157917,0.15339483,0.086007655
260,0.10111181,0.09604859,0.121690445,0.22188637,0.28539562,0.17386721
261,0.081295654,0.18002164,0.094254926,0.22502847,0.22887991,0.1905194
262,0.15364075,0.260548,0.2863753,0.079677,0.15540646,0.06435245
263,0.1308322,0.13572979,0.10113108,0.2314044,0.24933857,0.15156394
264,0.1199798,0.24352145,0.05746094,0.21807162,0.18058266,0.18038353
265,0.14418237,0.07186957,0.26494172,0.1702811,0.28324485,0.06548038
266,0.06856019,0.22475085,0.22533712,0.11735505,0.091823086,0.27217373
267,0.08702968,0.21733828,0.07102694,0.22452037,0.29804662,0.10203809
268,0.123607114,0.2179245,0.17969808,0.10298043,0.06953683,0.30625305
269,0.18488498,0.19899417,0.06604684,0.09691983,0.19058768,0.26256648
270,0.11264853,0.08621393,0.19993632,0.19762369,0.1509693,0.25260824
271,0.19322583,0.13676982,0.27154142,0.18282808,0.05666859,0.1589663
272,0.24359582,0.24674228,0.08622019,0.16936219,0.083322994,0.17075652
273,0.13498504,0.20927149,0.25356773,0.0558106,0.27132475,0.07504037
274,0.19695224,0.25877512,0.16345261,0.11903651,0.06413875,0.19764481
275,0.10295716,0.22281797,0.18067558,0.3597673,0.06497723,0.06880476
276,0.07560967,0.11665636,0.06387111,0.13200998,0.14418252,0.46767032
277,0.17042215,0.13458788,0.20950204,0.12619185,0.24245176,0.11684436
278,0.22590083,0.16646159,0.107167214,0.11294371,0.14932562,0.23820107
279,0.24461721,0.23158537,0.07176591,0.09808099,0.09101748,0.26293308
280,0.17588802,0.22239542,0.14380549,0.09627977,0.048850544,0.3127808
281,0.1386614,0.09899399,0.12423068,0.11050805,0.469808,0.057797883
282,0.17949879,0.26900908,0.061319254,0.118386224,0.20200427,0.16978244
283,0.1130942,0.2978795,0.14413823,0.13039245,0.24749877,0.066996835
284,0.26078725,0.07778554,0.24446763,0.15927403,0.14218123,0.11550435
285,0.13386726,0.25692946,0.1075272,0.26468176,0.16652533,0.07046903
286,0.060902625,0.2650044,0.11482313,0.25217322,0.21358332,0.09351335
287,0.13758622,0.09051232,0.13005893,0.19259131,0.20814843,0.24110283
288,0.16540581,0.18356387,0.057817087,0.30719396,0.13652518,0.14949413
289,0.09758462,0.15715466,0.117114075,0.26264533,0.060166728,0.30533457
290,0.18202198,0.11618484,0.20818903,0.104831584,0.30090803,0.08786457
291,0.13492382,0.083412595,0.11969475,0.31832188,0.24937195,0.09427503
292,0.23767349,0.14417796,0.14660802,0.26267326,0.10151789,0.10734935
293,0.17948599,0.19672649,0.06752566,0.4155784,0.059484284,0.08119919
294,0.0977187,0.15176651,0.12891974,0.27831304,0.0630053,0.28027675
295,0.12108273,0.24269828,0.15275934,0.08957422,0.1783588,0.2155266
