,HS,VA3,VA1,FI2,FI1,IM1,IM2,VA2,AV2,PE2,AV1,AV3,IM4,BA,PE1,IM3
86,0.08732595,0.04898143,0.10085716,0.04866584,0.07404126,0.09376962,0.09138728,0.06384677,0.054161325,0.048343033,0.06451458,0.03455883,0.03369276,0.023221562,0.044599544,0.08803306
87,0.12488524,0.043848824,0.061721023,0.048921436,0.054346245,0.078342594,0.055739045,0.065767884,0.08822306,0.06164065,0.09953236,0.07400873,0.03691729,0.026130004,0.030213155,0.04976243
88,0.08528855,0.06795321,0.07101576,0.01545811,0.03308494,0.060941,0.040458634,0.049863923,0.038105812,0.050410803,0.074484475,0.031698775,0.07746715,0.07485877,0.08890017,0.14000995
89,0.042535823,0.061636467,0.084320605,0.063092746,0.088956855,0.06971232,0.08842551,0.05018727,0.042615782,0.038676355,0.05396514,0.04141876,0.04570608,0.06228125,0.053230267,0.113238774
90,0.08601006,0.045938637,0.11799675,0.044429164,0.059978057,0.07479934,0.06606874,0.056137268,0.048399176,0.041504756,0.057552706,0.07256166,0.020053156,0.071444474,0.06618598,0.0709401
91,0.0733337,0.0511702,0.07084351,0.057511996,0.07202963,0.053067803,0.063249655,0.049324084,0.09071505,0.034977544,0.07392651,0.08231338,0.039400604,0.08254238,0.054238558,0.051355347
92,0.08148682,0.07774995,0.13429938,0.018964825,0.074958205,0.0581106,0.07284602,0.042396594,0.046075564,0.024694992,0.05424053,0.03246434,0.05993137,0.03971501,0.07541195,0.10665382
93,0.093638994,0.054888066,0.036150444,0.047322456,0.09747193,0.100551985,0.07700939,0.022785733,0.026474148,0.040181167,0.05657701,0.02642525,0.06946629,0.037396803,0.066487215,0.14717312
94,0.076478444,0.03050085,0.061445903,0.03607074,0.110651486,0.06289183,0.12611914,0.046928708,0.03957392,0.042609666,0.035016123,0.042513285,0.062301397,0.075468995,0.087335445,0.06409402
95,0.096369684,0.09595295,0.062806316,0.024689153,0.058635462,0.081498586,0.04564816,0.02873007,0.04029942,0.03944806,0.072911,0.03297768,0.080182746,0.030095438,0.078981586,0.13077365
96,0.055811178,0.06822411,0.080792464,0.05128775,0.09759897,0.094112195,0.061722804,0.040072337,0.025215948,0.06997529,0.02530013,0.046107173,0.03401475,0.050320804,0.1255848,0.07385928
97,0.063711256,0.08109347,0.099933185,0.062293082,0.08937169,0.04670022,0.040748537,0.05221502,0.050878737,0.04610679,0.05344839,0.07411193,0.026573157,0.0769461,0.078873344,0.05699509
98,0.12118265,0.05952474,0.038526256,0.0709064,0.12851217,0.056556266,0.050984215,0.032558322,0.04027613,0.048224106,0.08345884,0.049030576,0.04237184,0.051675793,0.043232292,0.08297942
99,0.12684977,0.053263932,0.03758496,0.047930125,0.094317146,0.08512894,0.039998382,0.03478855,0.0467269,0.100829475,0.059708834,0.061254486,0.035567746,0.022787675,0.059084963,0.09417814
100,0.105882585,0.11554372,0.058564007,0.0386728,0.090679735,0.07379726,0.04392186,0.039866567,0.033106994,0.06682924,0.05443287,0.03726178,0.07747629,0.02851048,0.07114405,0.06430972
101,0.058249753,0.042781565,0.07265014,0.027710697,0.068038635,0.06089974,0.09452636,0.022393646,0.043516498,0.013543333,0.07851693,0.035838503,0.049111035,0.079520315,0.046934247,0.2057686
102,0.06620617,0.036940902,0.05807132,0.042001676,0.06079107,0.06442476,0.068614505,0.065503396,0.06126852,0.07111636,0.06625042,0.04312421,0.0603514,0.06746583,0.092654616,0.07521487
103,0.098317705,0.036303665,0.041785553,0.0499085,0.08872026,0.054431718,0.06510183,0.0638543,0.03107364,0.09170964,0.04644573,0.038923975,0.05135779,0.08521563,0.08846322,0.06838685
104,0.1282082,0.049925063,0.068368085,0.037795845,0.0741516,0.055057988,0.07366917,0.05279425,0.042706802,0.03578235,0.069899015,0.060571533,0.04799513,0.080685526,0.05116701,0.07122245
105,0.13206433,0.03529783,0.028701706,0.071346276,0.08485195,0.059031326,0.0398131,0.036705084,0.060919464,0.0752812,0.10648382,0.05629875,0.034430157,0.041545797,0.049996406,0.087232806
