,VA,AV,BA,FI,HS,IM
245,0.32733327,0.25873148,0.1892006,0.10125819,0.08476519,0.038711302
246,0.31994587,0.11178355,0.07747804,0.32777658,0.06525807,0.09775786
247,0.09323468,0.10868895,0.032220256,0.43388322,0.2704893,0.061483547
248,0.2685898,0.18920872,0.08621897,0.066060886,0.16203342,0.22788826
249,0.1279602,0.08251825,0.103699766,0.40588504,0.21274121,0.06719553
250,0.072735615,0.4190309,0.22769122,0.08097654,0.13340133,0.06616429
251,0.1435905,0.10880084,0.1675677,0.24060072,0.06254593,0.27689427
252,0.12585048,0.2926535,0.32139093,0.034900445,0.115552165,0.10965248
253,0.17315707,0.047064967,0.2691746,0.11502323,0.034229293,0.3613509
254,0.16441497,0.27507013,0.121595465,0.12741037,0.27471587,0.036793143
255,0.21993704,0.16371733,0.2756801,0.11796041,0.18740876,0.03529639
256,0.25827792,0.0779252,0.13379034,0.078215055,0.1864834,0.26530805
257,0.18810588,0.17999987,0.2844862,0.14442125,0.08284854,0.12013824
258,0.21653457,0.13271223,0.21439175,0.05639078,0.22660995,0.15336071
259,0.061123934,0.05125468,0.17583138,0.31227198,0.081536554,0.31798145
260,0.26688838,0.10730302,0.05584768,0.320979,0.08646701,0.16251491
261,0.14909579,0.25008032,0.17497443,0.18946369,0.19936511,0.037020642
262,0.065667585,0.16124807,0.302261,0.25666967,0.16747944,0.0466742
263,0.10571211,0.0683725,0.20094863,0.31980535,0.15132335,0.15383805
264,0.16188541,0.19788256,0.11213868,0.20765498,0.103289574,0.21714881
265,0.3221117,0.14843474,0.1334199,0.18051632,0.13423611,0.08128121
266,0.17109388,0.23493235,0.18500687,0.103077024,0.06396836,0.24192151
267,0.33766413,0.086149275,0.101611696,0.36049527,0.05121994,0.0628597
268,0.2013869,0.07631172,0.115760334,0.040902834,0.11752863,0.4481096
269,0.20897768,0.42874715,0.12404286,0.06120555,0.1388111,0.03821563
270,0.092259884,0.09391019,0.3172816,0.18577746,0.07962987,0.231141
271,0.15966257,0.27685094,0.10539482,0.06973502,0.07725046,0.31110618
272,0.12841965,0.046507612,0.048004497,0.4265626,0.1799831,0.17052247
273,0.41459605,0.037198298,0.0492898,0.40099555,0.039936118,0.057984173
274,0.08333276,0.07529642,0.07530913,0.11698471,0.29678,0.35229698
275,0.16621321,0.3186391,0.09440328,0.050338734,0.21622944,0.15417624
276,0.15408579,0.048715852,0.07321015,0.5502899,0.04752773,0.12617053
277,0.1723733,0.31072217,0.16006234,0.051244456,0.15848342,0.14711432
278,0.16913924,0.04557617,0.04834666,0.40483418,0.07788183,0.25422186
279,0.20008303,0.2373144,0.037082594,0.12356942,0.26536345,0.13658711
280,0.33133283,0.109173246,0.3153685,0.053518757,0.055192668,0.13541396
281,0.2547352,0.28018448,0.12411838,0.08637908,0.20120189,0.053380955
282,0.05391604,0.12114573,0.088290274,0.09169807,0.24798425,0.39696556
283,0.36613864,0.08257245,0.14199136,0.0896819,0.055378217,0.26423743
284,0.1609372,0.34752637,0.13181737,0.10271915,0.14605744,0.110942446
285,0.2329767,0.06285112,0.4847846,0.10829976,0.03218969,0.07889811
286,0.09089888,0.06670105,0.23351635,0.27002087,0.04686617,0.29199666
287,0.3023684,0.12374178,0.0458605,0.13590081,0.07797232,0.3141562
288,0.1813795,0.16053678,0.19440712,0.04748799,0.06093939,0.3552493
289,0.045863893,0.048765525,0.022793787,0.6678954,0.06421114,0.15047024
290,0.18044552,0.08298996,0.027313361,0.09430005,0.31891236,0.29603875
291,0.15455604,0.093665734,0.210198,0.40148556,0.08997915,0.05011552
292,0.22485387,0.3702568,0.109546095,0.060283072,0.19736584,0.037694298
293,0.30072588,0.11129044,0.11482982,0.07077099,0.16220886,0.24017401
294,0.21966754,0.087264255,0.12466547,0.36273104,0.070965126,0.13470657
295,0.17747849,0.23574135,0.120714165,0.12512767,0.2690379,0.07190041
296,0.08748723,0.04638145,0.07838869,0.44602144,0.11519977,0.2265214
